Tag Length (Average tag length = 541.171670)	Fraction of Tags
0	0.000000
1	0.000000
2	0.000404
3	0.000651
4	0.001201
5	0.001368
6	0.001243
7	0.001292
8	0.001310
9	0.001369
10	0.001442
11	0.001586
12	0.001671
13	0.001634
14	0.001656
15	0.001571
16	0.001586
17	0.001648
18	0.001649
19	0.001651
20	0.001619
21	0.001628
22	0.001667
23	0.001717
24	0.001714
25	0.001737
26	0.001676
27	0.001715
28	0.001678
29	0.001600
30	0.001589
31	0.001673
32	0.001625
33	0.001639
34	0.001606
35	0.001622
36	0.001596
37	0.001539
38	0.001494
39	0.001486
40	0.001386
41	0.001347
42	0.001258
43	0.001215
44	0.006595
45	0.001224
46	0.011366
47	0.000457
48	0.046554
49	0.000000
50	10.731740
